Sample Number,Date,Time,Fo,Fv,Fm,Fv/Fm,Fv/Fo
   1,Mar/23/2020,05:27:34, 415,   0, 415,0.000,0.000
   2,Mar/23/2020,05:27:44, 234,   6, 240,0.025,0.025
   3,Mar/23/2020,05:27:58, 299,1096,1395,0.785,3.665
   4,Mar/23/2020,05:28:09, 282,1230,1512,0.813,4.361
   5,Mar/23/2020,05:28:23, 255,1222,1477,0.827,4.792
   6,Mar/23/2020,05:28:34, 200,   3, 203,0.014,0.015
   7,Mar/23/2020,05:28:47, 288, 485, 773,0.627,1.684
   8,Mar/23/2020,05:29:00, 402, 489, 891,0.548,1.216
   9,Mar/23/2020,05:29:17, 381, 363, 744,0.487,0.952
  10,Mar/23/2020,05:29:32,  75,   2,  77,0.025,0.026
  11,Mar/23/2020,05:29:59, 374,1615,1989,0.811,4.318
  12,Mar/23/2020,05:30:29, 343,   4, 347,0.011,0.011
  13,Mar/23/2020,05:30:44, 292,   0, 292,0.000,0.000
  14,Mar/23/2020,05:30:57, 115,   2, 117,0.017,0.017
  15,Mar/23/2020,05:31:12, 162,   0, 162,0.000,0.000
  16,Mar/23/2020,05:31:28, 389,1284,1673,0.767,3.300
  17,Mar/23/2020,05:31:41, 260,1137,1397,0.813,4.373
  18,Mar/23/2020,05:31:55, 326,1375,1701,0.808,4.217
  19,Mar/23/2020,05:32:27, 169,   6, 175,0.034,0.035
  20,Mar/23/2020,05:32:40, 321,1410,1731,0.814,4.392
  21,Mar/23/2020,05:32:51, 378, 382, 760,0.502,1.010
  22,Mar/23/2020,05:33:00, 166,   2, 168,0.011,0.012
  23,Mar/23/2020,05:33:13, 275, 175, 450,0.388,0.636
  24,Mar/23/2020,05:33:22,  86,   1,  87,0.011,0.011
  25,Mar/23/2020,05:33:33, 451, 958,1409,0.679,2.124
  26,Mar/23/2020,05:33:43, 493,  24, 517,0.046,0.048
  27,Mar/23/2020,05:33:55, 274,  72, 346,0.208,0.262
  28,Mar/23/2020,05:34:16, 152,   1, 153,0.006,0.006
  29,Mar/23/2020,05:34:35, 641,   1, 642,0.001,0.001
  30,Mar/23/2020,05:34:52, 274,1143,1417,0.806,4.171
  31,Mar/23/2020,05:35:04, 316,1461,1777,0.822,4.623
  32,Mar/23/2020,05:35:25, 251,1158,1409,0.821,4.613
  33,Mar/23/2020,05:35:36, 276,1191,1467,0.811,4.315
  34,Mar/23/2020,05:35:52, 283,1436,1719,0.835,5.074
  35,Mar/23/2020,05:36:01, 313, 585, 898,0.651,1.869
  36,Mar/23/2020,05:36:22, 248, 681, 929,0.733,2.745
  37,Mar/23/2020,05:36:34, 307,1462,1769,0.826,4.762
  38,Mar/23/2020,05:36:47, 269,1085,1354,0.801,4.033
  39,Mar/23/2020,05:37:06, 264,1292,1556,0.830,4.893
  40,Mar/23/2020,05:37:25, 225,  17, 242,0.070,0.075
  41,Mar/23/2020,05:37:36, 278,1203,1481,0.812,4.327
  42,Mar/23/2020,05:37:50, 305, 898,1203,0.746,2.944
  43,Mar/23/2020,05:38:02, 141,   4, 145,0.027,0.028
  44,Mar/23/2020,05:38:18, 331,1172,1503,0.779,3.540
  45,Mar/23/2020,05:38:30, 289,1153,1442,0.799,3.989
  46,Mar/23/2020,05:38:42, 308, 512, 820,0.624,1.662
  47,Mar/23/2020,05:39:06,  97,   1,  98,0.010,0.010
  48,Mar/23/2020,05:39:21, 228,1019,1247,0.817,4.469
  49,Mar/23/2020,05:39:36, 249, 629, 878,0.716,2.526
  50,Mar/23/2020,05:39:55, 384, 993,1377,0.721,2.585
  51,Mar/23/2020,05:40:06, 202,   1, 203,0.004,0.004
  52,Mar/23/2020,05:40:20, 130,   3, 133,0.022,0.023
  53,Mar/23/2020,05:40:31, 161,   4, 165,0.024,0.024
  54,Mar/23/2020,05:40:48, 249,  11, 260,0.042,0.044
  55,Mar/23/2020,05:41:03, 348, 175, 523,0.334,0.502
  56,Mar/23/2020,05:41:17, 338, 340, 678,0.501,1.005
  57,Mar/23/2020,05:41:29, 107,   5, 112,0.044,0.046
  58,Mar/23/2020,05:41:45, 210, 338, 548,0.616,1.609
  59,Mar/23/2020,05:41:58, 221,   0, 221,0.000,0.000
  60,Mar/23/2020,05:42:13, 310, 537, 847,0.634,1.732
  61,Mar/23/2020,05:42:24, 103,   4, 107,0.037,0.038
  62,Mar/23/2020,05:42:35, 520,   5, 525,0.009,0.009
  63,Mar/23/2020,05:42:45,  48,   6,  54,0.111,0.125
  64,Mar/23/2020,05:42:58, 297,1212,1509,0.803,4.080
  65,Mar/23/2020,05:43:10, 289,1376,1665,0.826,4.761
  66,Mar/23/2020,05:43:20,  84,   7,  91,0.076,0.083
  67,Mar/23/2020,05:43:38, 145, 184, 329,0.559,1.268
  68,Mar/23/2020,05:43:55, 273,1126,1399,0.804,4.124
  69,Mar/23/2020,05:44:07, 236, 402, 638,0.630,1.703
  70,Mar/23/2020,05:44:19, 142,   4, 146,0.027,0.028
  71,Mar/23/2020,05:44:32, 285,1126,1411,0.798,3.950
  72,Mar/23/2020,05:44:47, 247,1090,1337,0.815,4.412
  73,Mar/23/2020,05:45:02, 274, 980,1254,0.781,3.576
  74,Mar/23/2020,05:45:19, 273,1196,1469,0.814,4.380
  75,Mar/23/2020,05:45:36, 348, 621, 969,0.640,1.784
  76,Mar/23/2020,05:45:47, 372, 805,1177,0.683,2.163
  77,Mar/23/2020,05:45:58, 411, 677,1088,0.622,1.647
  78,Mar/23/2020,05:46:10, 111,   2, 113,0.017,0.018
  79,Mar/23/2020,05:46:20, 136,   6, 142,0.042,0.044
  80,Mar/23/2020,05:46:31, 474,   0, 474,0.000,0.000
  81,Mar/23/2020,05:46:44, 256,   0, 256,0.000,0.000
  82,Mar/23/2020,05:46:55, 263,   9, 272,0.033,0.034
  83,Mar/23/2020,05:47:35, 295,1135,1430,0.793,3.847
  84,Mar/23/2020,05:47:45, 340,1414,1754,0.806,4.158
